"elevation" "plot" "site.plot" "group" "genus" "species" "cover.original" "cover.adjusted" "rel.cover.adjusted" "SLA" "fixedSLA" "rel.SLA" "rel.fixedSLA"
"1120" 3 "1120p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Conostomum" "cono.tet" 0.25 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Conostomum" "cono.tet" 0.25 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 103.688 0 0
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 103.688 0 0
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 103.688 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.acu" 5.25 5.25 0.737 97.813 103.688 72.073 76.401
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.acu" 0.25 0.25 0.042 96.009 103.688 4 4.32
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.acu" 22 22 0.749 124.906 103.688 93.547 77.655
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.acu" 0.5 0.5 0.05 117.471 103.688 5.874 5.184
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.acu" 0.875 0.875 0.059 109.05 103.688 6.415 6.099
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.022 96.377 103.688 2.095 2.254
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.acu" 2.5 2.5 0.161 89.578 103.688 14.448 16.724
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.033 96.377 103.688 3.213 3.456
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.acu" 0.375 0.375 0.176 103.177 103.688 18.208 18.298
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.acu" 1.25 1.25 0.068 104.498 103.688 7.061 7.006
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 103.688 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.025 104.498 103.688 2.612 2.592
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.017 104.498 103.688 1.802 1.788
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.bre" 0.125 0 0 NA 86.8 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.bre" 0.625 0.625 0.034 86.8 86.8 2.932 2.932
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.bre" 0.375 0.375 0.075 86.8 86.8 6.51 6.51
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 86.8 0 0
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.elo" 0.375 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.elo" 0.75 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.elo" 0.25 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.elo" 0.5 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.fus" 0.25 0.25 0.056 103.656 103.656 5.759 5.759
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.fus" 1 1 0.083 103.656 103.656 8.638 8.638
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.fus" 0.875 0.875 0.189 93.422 103.656 17.674 19.611
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.fus" 2.875 2.875 0.149 113.89 103.656 17.01 15.481
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.fus" 0.5 0 0 NA 103.656 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.fus" 0.25 0 0 NA 103.656 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.fus" 0.375 0 0 NA 103.656 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.fus" 0.625 0 0 NA 103.656 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.fus" 1 0 0 NA 103.656 0 0
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.fus" 0.125 0 0 NA 103.656 0 0
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 103.656 0 0
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.gro" 0.125 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.gro" 0.125 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.sco" 0.5 0 0 NA 92.131 0 0
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.sco" 1.25 0 0 NA 92.131 0 0
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 92.131 0 0
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 92.131 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 92.131 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 92.131 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.sco" 0.25 0 0 NA 92.131 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.sco" 0.25 0 0 NA 92.131 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 92.131 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 92.131 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.sco" 2.125 2.125 0.425 92.131 92.131 39.156 39.156
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.017 92.131 92.131 1.588 1.588
"1120" 1 "1120p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Gymnomitrion" "gymn.con" 0.125 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Hylocomium" "hylo.spl" 2.25 2.25 0.5 207.096 169.466 103.548 84.733
"1120" 2 "1120p2" "bryo" "Hylocomium" "hylo.spl" 3.375 3.375 0.281 195.856 169.466 55.085 47.662
"1120" 3 "1120p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1120" 4 "1120p4" "bryo" "Hylocomium" "hylo.spl" 0.25 0.25 0.018 201.476 169.466 3.566 2.999
"1120" 5 "1120p5" "bryo" "Hylocomium" "hylo.spl" 0.125 0.125 0.006 201.476 169.466 1.308 1.1
"1240" 1 "1240p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1240" 2 "1240p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1240" 3 "1240p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1240" 4 "1240p4" "bryo" "Hylocomium" "hylo.spl" 0.125 0 0 NA 169.466 0 0
"1240" 5 "1240p5" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1360" 1 "1360p1" "bryo" "Hylocomium" "hylo.spl" 0.25 0.25 0.035 137.456 169.466 4.823 5.946
"1360" 2 "1360p2" "bryo" "Hylocomium" "hylo.spl" 0.375 0.375 0.063 137.456 169.466 8.591 10.592
"1360" 3 "1360p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1360" 4 "1360p4" "bryo" "Hylocomium" "hylo.spl" 0.375 0.375 0.038 137.456 169.466 5.155 6.355
"1360" 5 "1360p5" "bryo" "Hylocomium" "hylo.spl" 0.125 0.125 0.008 137.456 169.466 1.155 1.424
"1480" 1 "1480p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1480" 2 "1480p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1480" 3 "1480p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1480" 4 "1480p4" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1480" 5 "1480p5" "bryo" "Hylocomium" "hylo.spl" 0.375 0 0 NA 169.466 0 0
"1600" 1 "1600p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1600" 2 "1600p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1600" 3 "1600p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1600" 4 "1600p4" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1600" 5 "1600p5" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 169.466 0 0
"1120" 1 "1120p1" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Lophozia" "loph.atl" 0.125 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
