"elevation" "plot" "site.plot" "group" "genus" "species" "cover.original" "cover.adjusted" "rel.cover.adjusted" "pH" "fixedpH" "rel.pH" "rel.fixedpH"
"1120" 3 "1120p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Conostomum" "cono.tet" 0.25 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Conostomum" "cono.tet" 0.25 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 4.078333333 0 0
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 4.078333333 0 0
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.acu" 0.125 0 0 NA 4.078333333 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.acu" 5.25 5.25 0.737 3.91 4.078333333 2.881052632 3.005087719
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.acu" 0.25 0.25 0.042 4.11 4.078333333 0.17125 0.169930556
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.acu" 22 22 0.749 4.06 4.078333333 3.040680851 3.054411348
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.acu" 0.5 0.5 0.05 4.14 4.078333333 0.207 0.203916667
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.acu" 0.875 0.875 0.059 4.16 4.078333333 0.244705882 0.239901961
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.021 4.08 4.078333333 0.086808511 0.08677305
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.acu" 2.5 2.5 0.16 3.96 4.078333333 0.6336 0.652533333
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.033 4.08 4.078333333 0.136 0.135944444
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.acu" 0.375 0.375 0.167 4.2 4.078333333 0.7 0.679722222
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.acu" 1.25 1.25 0.068 4.02 4.078333333 0.271621622 0.275563063
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.acu" 0 0 0 NA 4.078333333 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.025 4.08 4.078333333 0.102 0.101958333
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.acu" 0.125 0.125 0.017 4.14 4.078333333 0.07137931 0.070316092
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.bre" 0.125 0 0 NA 4.01 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.bre" 0.625 0.625 0.034 4.01 4.01 0.135472973 0.135472973
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.bre" 0.375 0.375 0.075 4.01 4.01 0.30075 0.30075
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.bre" 0 0 0 NA 4.01 0 0
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.elo" 0.375 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.elo" 0.75 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.elo" 0.25 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.elo" 0.5 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.elo" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.fus" 0.25 0.25 0.05 4.12 4.169285714 0.206 0.208464286
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.fus" 1 1 0.075 4.12 4.169285714 0.310943396 0.314663073
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.fus" 0.875 0.875 0.184 4.03 4.169285714 0.742368421 0.768026316
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.fus" 2.875 2.875 0.149 4.21 4.169285714 0.628766234 0.622685529
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.fus" 0.5 0.5 0.037 4.13 4.169285714 0.151559633 0.153001311
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.fus" 0.25 0.25 0.037 4.235 4.169285714 0.156851852 0.154417989
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.fus" 0.375 0.375 0.028 4.34 4.169285714 0.122830189 0.117998652
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.fus" 0.625 0 0 NA 4.169285714 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.fus" 1 0 0 NA 4.169285714 0 0
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.fus" 0.125 0 0 NA 4.169285714 0 0
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.fus" 0 0 0 NA 4.169285714 0 0
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.gro" 0.125 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.gro" 0.125 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.gro" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Dicranum" "dicr.sco" 0.5 0.5 0.1 4.04 4.082666667 0.404 0.408266667
"1120" 2 "1120p2" "bryo" "Dicranum" "dicr.sco" 1.25 1.25 0.094 4.12 4.082666667 0.388679245 0.385157233
"1120" 3 "1120p3" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.026 4.07 4.082666667 0.107105263 0.107438596
"1120" 4 "1120p4" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.009 4.076666667 4.082666667 0.035760234 0.035812865
"1120" 5 "1120p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1240" 1 "1240p1" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.009 4.07 4.082666667 0.03733945 0.037455657
"1240" 2 "1240p2" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.019 4.04 4.082666667 0.074814815 0.075604938
"1240" 3 "1240p3" "bryo" "Dicranum" "dicr.sco" 0.25 0.25 0.027 4.1 4.082666667 0.110810811 0.110342342
"1240" 4 "1240p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1240" 5 "1240p5" "bryo" "Dicranum" "dicr.sco" 0.25 0.25 0.009 4.07 4.082666667 0.035859031 0.035970631
"1360" 1 "1360p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1360" 2 "1360p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1360" 3 "1360p3" "bryo" "Dicranum" "dicr.sco" 0.125 0 0 NA 4.082666667 0 0
"1360" 4 "1360p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1360" 5 "1360p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1480" 1 "1480p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1480" 2 "1480p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1480" 3 "1480p3" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1480" 4 "1480p4" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1480" 5 "1480p5" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1600" 1 "1600p1" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1600" 2 "1600p2" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1600" 3 "1600p3" "bryo" "Dicranum" "dicr.sco" 0 0 0 NA 4.082666667 0 0
"1600" 4 "1600p4" "bryo" "Dicranum" "dicr.sco" 2.125 2.125 0.425 4.12 4.082666667 1.751 1.735133333
"1600" 5 "1600p5" "bryo" "Dicranum" "dicr.sco" 0.125 0.125 0.017 4.12 4.082666667 0.071034483 0.070390805
"1120" 1 "1120p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Gymnomitrion" "gymn.con" 0.125 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Gymnomitrion" "gymn.con" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Hylocomium" "hylo.spl" 2.25 2.25 0.45 4.23 4.298888889 1.9035 1.9345
"1120" 2 "1120p2" "bryo" "Hylocomium" "hylo.spl" 3.375 3.375 0.255 4.13 4.298888889 1.051981132 1.095
"1120" 3 "1120p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1120" 4 "1120p4" "bryo" "Hylocomium" "hylo.spl" 0.25 0.25 0.018 4.41 4.298888889 0.077368421 0.075419103
"1120" 5 "1120p5" "bryo" "Hylocomium" "hylo.spl" 0.125 0.125 0.006 4.35 4.298888889 0.028246753 0.027914863
"1240" 1 "1240p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1240" 2 "1240p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1240" 3 "1240p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1240" 4 "1240p4" "bryo" "Hylocomium" "hylo.spl" 0.125 0.125 0.009 4.37 4.298888889 0.041226415 0.040555556
"1240" 5 "1240p5" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1360" 1 "1360p1" "bryo" "Hylocomium" "hylo.spl" 0.25 0.25 0.035 4.3 4.298888889 0.150877193 0.150838207
"1360" 2 "1360p2" "bryo" "Hylocomium" "hylo.spl" 0.375 0.375 0.063 4.3 4.298888889 0.26875 0.268680556
"1360" 3 "1360p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1360" 4 "1360p4" "bryo" "Hylocomium" "hylo.spl" 0.375 0.375 0.038 4.3 4.298888889 0.16125 0.161208333
"1360" 5 "1360p5" "bryo" "Hylocomium" "hylo.spl" 0.125 0.125 0.008 4.3 4.298888889 0.036134454 0.036125117
"1480" 1 "1480p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1480" 2 "1480p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1480" 3 "1480p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1480" 4 "1480p4" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1480" 5 "1480p5" "bryo" "Hylocomium" "hylo.spl" 0.375 0 0 NA 4.298888889 0 0
"1600" 1 "1600p1" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1600" 2 "1600p2" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1600" 3 "1600p3" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1600" 4 "1600p4" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1600" 5 "1600p5" "bryo" "Hylocomium" "hylo.spl" 0 0 0 NA 4.298888889 0 0
"1120" 1 "1120p1" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Lophozia" "loph.atl" 0 0 0 NA NA 0 NA
